,docno,qid,rank,score,new_score
0,114_hr1945,q1,2.0,1,
1,114_s1769,q1,8.0,1,
2,113_hr5886,q1,11.0,2,
3,113_hr5454,q1,12.0,2,
4,110_hr4455,q1,24.0,2,
5,108_hr5096,q1,33.0,3,
6,108_hr2264,q1,37.0,3,
7,107_hr700,q1,44.0,4,
8,106_hr3407,q1,48.0,4,
9,106_s1210,q1,54.0,5,
10,105_s1287,q1,62.0,5,
11,114_hr1124,q2,18.0,1,
12,114_s2802,q2,30.0,1,
13,114_s2131,q2,35.0,1,
14,113_hr772,q2,67.0,1,
15,113_hr332,q2,69.0,1,
16,113_s179,q2,91.0,1,
17,112_hr6313,q2,95.0,1,
18,112_hr3131,q2,101.0,1,
19,112_hr2252,q2,105.0,1,
20,110_hr6842,q2,162.0,2,
21,110_hr6691,q2,163.0,2,
22,110_hr5646,q2,165.0,2,
23,110_s2807,q2,196.0,2,
24,109_hr5092,q2,215.0,2,
25,109_hr5005,q2,218.0,2,
26,109_hr4802,q2,219.0,2,
27,109_hr952,q2,231.0,2,
28,109_hr800,q2,232.0,3,
29,109_s1756,q2,245.0,3,
30,109_s1082,q2,247.0,3,
31,108_hr4674,q2,258.0,3,
32,108_hr3287,q2,259.0,3,
33,108_hr3193,q2,261.0,3,
34,108_hr1036,q2,270.0,3,
35,108_hr776,q2,272.0,3,
36,108_s2917,q2,284.0,3,
37,108_s1983,q2,288.0,4,
38,108_s1414,q2,295.0,4,
39,107_hr1455,q2,322.0,4,
40,107_s3096,q2,328.0,4,
41,107_s2826,q2,329.0,4,
42,107_s767,q2,344.0,4,
43,106_hr3300,q2,360.0,4,
44,106_hr1233,q2,373.0,4,
45,106_hr1032,q2,375.0,5,
46,106_s2324,q2,390.0,5,
47,106_s2270,q2,391.0,5,
48,106_s1306,q2,394.0,5,
49,105_hr2362,q2,422.0,5,
50,105_hr1998,q2,424.0,5,
51,104_hr2470,q2,462.0,5,
52,104_hr1488,q2,465.0,5,
53,104_hr78,q2,470.0,5,
54,114_hr6059,q3,0.0,1,
55,114_hr5106,q3,7.0,1,
56,114_hr4389,q3,11.0,1,
57,114_hr2768,q3,19.0,1,
58,114_hr2295,q3,23.0,1,
59,114_hr702,q3,34.0,1,
60,114_s2089,q3,61.0,1,
61,114_s2076,q3,62.0,1,
62,114_s1420,q3,69.0,1,
63,114_s1372,q3,70.0,1,
64,114_s1310,q3,72.0,1,
65,114_s1258,q3,74.0,1,
66,114_s844,q3,78.0,1,
67,114_s585,q3,80.0,1,
68,113_hr5873,q3,86.0,1,
69,113_hr4526,q3,103.0,1,
70,113_hr4326,q3,106.0,1,
71,113_hr2728,q3,120.0,1,
72,113_hr2060,q3,128.0,1,
73,113_hr1190,q3,136.0,1,
74,113_hr785,q3,140.0,1,
75,113_hr699,q3,141.0,1,
76,113_s2911,q3,160.0,1,
77,113_s2762,q3,162.0,1,
78,113_s2679,q3,163.0,1,
79,113_s2433,q3,165.0,1,
80,113_s2088,q3,171.0,1,
81,113_s1482,q3,179.0,1,
82,113_s1073,q3,184.0,1,
83,112_hr6314,q3,201.0,1,
84,112_hr4471,q3,208.0,1,
85,112_hr4325,q3,211.0,1,
86,112_hr3879,q3,217.0,1,
87,112_hr3784,q3,218.0,1,
88,112_hr3006,q3,229.0,1,
89,112_hr2328,q3,234.0,1,
90,112_hr2003,q3,243.0,1,
91,112_hr1938,q3,245.0,1,
92,112_hr1899,q3,247.0,2,
93,112_hr1705,q3,253.0,2,
94,112_hr1102,q3,261.0,2,
95,112_hr982,q3,262.0,2,
96,112_hr964,q3,263.0,2,
97,112_s3573,q3,279.0,2,
98,112_s1932,q3,288.0,2,
99,112_s1737,q3,290.0,2,
100,112_s1185,q3,300.0,2,
101,112_s940,q3,305.0,2,
102,112_s884,q3,307.0,2,
103,111_hr6051,q3,320.0,2,
104,111_hr4521,q3,329.0,2,
105,111_hr3379,q3,338.0,2,
106,111_hr3008,q3,345.0,2,
107,111_hr2380,q3,359.0,2,
108,111_hr1476,q3,369.0,2,
109,111_s3687,q3,383.0,2,
110,111_s3626,q3,385.0,2,
111,111_s3405,q3,395.0,2,
112,111_s3125,q3,399.0,2,
113,111_s2993,q3,402.0,2,
114,111_s835,q3,419.0,2,
115,111_s283,q3,428.0,2,
116,110_hr6921,q3,435.0,2,
117,110_hr6920,q3,436.0,2,
118,110_hr6823,q3,440.0,2,
119,110_hr6804,q3,442.0,2,
120,110_hr6784,q3,443.0,2,
121,110_hr6717,q3,446.0,2,
122,110_hr6647,q3,449.0,2,
123,110_hr6605,q3,451.0,2,
124,110_hr6559,q3,454.0,2,
125,110_hr6429,q3,461.0,2,
126,110_hr6385,q3,465.0,2,
127,110_hr6349,q3,468.0,2,
128,110_hr6334,q3,469.0,2,
129,110_hr6321,q3,471.0,2,
130,110_hr6238,q3,475.0,3,
131,110_hr6074,q3,480.0,3,
132,110_hr2480,q3,515.0,3,
133,110_hr2460,q3,516.0,3,
134,110_hr2372,q3,520.0,3,
135,110_hr2335,q3,522.0,3,
136,110_hr2208,q3,525.0,3,
137,110_hr2133,q3,528.0,3,
138,110_hr1252,q3,545.0,3,
139,110_hr1234,q3,546.0,3,
140,110_s3723,q3,571.0,3,
141,110_s3561,q3,575.0,3,
142,110_s3266,q3,584.0,3,
143,110_s3183,q3,590.0,3,
144,110_s3131,q3,593.0,3,
145,110_s3059,q3,599.0,3,
146,110_s2971,q3,606.0,3,
147,110_s2953,q3,609.0,3,
148,110_s2202,q3,616.0,3,
149,110_s1631,q3,623.0,3,
150,110_s1503,q3,630.0,3,
151,110_s1263,q3,637.0,3,
152,110_s1118,q3,642.0,3,
153,110_s878,q3,647.0,3,
154,110_s154,q3,659.0,3,
155,110_s115,q3,661.0,3,
156,109_hr6401,q3,667.0,3,
157,109_hr6368,q3,668.0,3,
158,109_hr5959,q3,671.0,3,
159,109_hr5890,q3,673.0,3,
160,109_hr5594,q3,680.0,3,
161,109_hr5302,q3,689.0,3,
162,109_hr5279,q3,691.0,3,
163,109_hr5253,q3,692.0,3,
164,109_hr5234,q3,694.0,3,
165,109_hr5111,q3,699.0,3,
166,109_hr5058,q3,700.0,3,
167,109_hr4479,q3,706.0,4,
168,109_hr4276,q3,712.0,4,
169,109_hr4263,q3,713.0,4,
170,109_hr4248,q3,714.0,4,
171,109_hr4203,q3,716.0,4,
172,109_hr4178,q3,717.0,4,
173,109_hr4029,q3,719.0,4,
174,109_hr3944,q3,722.0,4,
175,109_hr3936,q3,723.0,4,
176,109_hr3836,q3,725.0,4,
177,109_hr3752,q3,729.0,4,
178,109_hr3580,q3,733.0,4,
179,109_hr3059,q3,737.0,4,
180,109_hr2944,q3,738.0,4,
181,109_hr2730,q3,743.0,4,
182,109_hr2665,q3,744.0,4,
183,109_hr1398,q3,751.0,4,
184,109_s4012,q3,774.0,4,
185,109_s3985,q3,776.0,4,
186,109_s2689,q3,794.0,4,
187,109_s2680,q3,795.0,4,
188,109_s2673,q3,796.0,4,
189,109_s2103,q3,804.0,4,
190,109_s1973,q3,810.0,4,
191,109_s1794,q3,813.0,4,
192,109_s1735,q3,816.0,4,
193,108_hr5342,q3,852.0,4,
194,108_hr4611,q3,857.0,4,
195,108_hr4284,q3,864.0,4,
196,108_hr3531,q3,869.0,4,
197,108_hr1356,q3,881.0,4,
198,108_hr1221,q3,883.0,4,
199,108_hr1039,q3,885.0,4,
200,108_hr585,q3,888.0,4,
201,108_hr503,q3,889.0,4,
202,108_s2917,q3,900.0,4,
203,108_s1192,q3,915.0,4,
204,108_s944,q3,918.0,4,
205,107_hr3099,q3,940.0,5,
206,107_hr2121,q3,955.0,5,
207,107_hr1967,q3,959.0,5,
208,107_hr30,q3,969.0,5,
209,107_s2917,q3,974.0,5,
210,107_s1199,q3,986.0,5,
211,107_s900,q3,988.0,5,
212,107_s295,q3,995.0,5,
213,106_hr5479,q3,1001.0,5,
214,106_hr5278,q3,1004.0,5,
215,106_hr4974,q3,1007.0,5,
216,106_hr4732,q3,1013.0,5,
217,106_hr4043,q3,1024.0,5,
218,106_hr4035,q3,1025.0,5,
219,106_hr3822,q3,1028.0,5,
220,106_hr3807,q3,1029.0,5,
221,106_hr1204,q3,1061.0,5,
222,106_s3118,q3,1083.0,5,
223,106_s2182,q3,1094.0,5,
224,106_s2094,q3,1096.0,5,
225,105_hr3932,q3,1130.0,5,
226,105_hr3688,q3,1131.0,5,
227,105_s416,q3,1168.0,5,
228,104_hr3008,q3,1183.0,5,
229,104_hr2532,q3,1188.0,5,
230,104_hr1525,q3,1207.0,5,
231,104_hr1514,q3,1208.0,5,
232,104_hr873,q3,1216.0,5,
233,104_hr70,q3,1222.0,5,
234,104_s898,q3,1243.0,5,
235,104_s158,q3,1251.0,5,
236,104_s32,q3,1253.0,5,
237,103_hr1282,q3,1280.0,5,
238,103_hr601,q3,1285.0,5,
239,103_hr600,q3,1286.0,5,
240,103_s2032,q3,1293.0,5,
241,103_s1637,q3,1297.0,5,
242,103_s318,q3,1303.0,5,
243,113_hr3642,q4,3.0,1,
244,112_hr6411,q4,8.0,3,
245,108_s1592,q4,18.0,5,
246,114_hr6533,q5,0.0,1,
247,114_hr6510,q5,4.0,1,
248,114_hr6345,q5,15.0,1,
249,114_hr6314,q5,17.0,1,
250,114_hr6175,q5,27.0,1,
251,114_hr6168,q5,28.0,1,
252,114_hr6097,q5,30.0,1,
253,114_hr6056,q5,37.0,1,
254,114_hr6006,q5,39.0,1,
255,114_hr5888,q5,51.0,1,
256,114_hr5827,q5,56.0,1,
257,114_hr5825,q5,58.0,1,
258,114_hr5727,q5,68.0,1,
259,114_hr5710,q5,69.0,1,
260,114_hr5695,q5,71.0,1,
261,114_hr5598,q5,79.0,1,
262,114_hr5568,q5,82.0,1,
263,114_hr5471,q5,87.0,1,
264,114_hr5308,q5,101.0,1,
265,114_hr5256,q5,103.0,1,
266,114_hr5253,q5,104.0,1,
267,114_hr5203,q5,108.0,1,
268,114_hr5141,q5,109.0,1,
269,114_hr4886,q5,123.0,1,
270,114_hr4847,q5,125.0,1,
271,114_hr4731,q5,131.0,1,
272,114_hr4724,q5,133.0,1,
273,114_hr4646,q5,138.0,1,
274,114_hr4531,q5,145.0,1,
275,114_hr4482,q5,147.0,1,
276,114_hr4333,q5,159.0,1,
277,114_hr4264,q5,167.0,1,
278,114_hr4143,q5,176.0,1,
279,114_hr4086,q5,183.0,1,
280,114_hr4034,q5,190.0,1,
281,114_hr4008,q5,197.0,1,
282,114_hr3829,q5,207.0,1,
283,114_hr3815,q5,210.0,1,
284,114_hr3785,q5,212.0,1,
285,114_hr3744,q5,213.0,1,
286,114_hr3662,q5,220.0,1,
287,114_hr3606,q5,228.0,1,
288,114_hr3598,q5,231.0,1,
289,114_hr3573,q5,235.0,1,
290,114_hr3510,q5,240.0,1,
291,114_hr3503,q5,241.0,1,
292,114_hr3302,q5,253.0,1,
293,114_hr3290,q5,255.0,1,
294,114_hr3102,q5,265.0,1,
295,114_hr3078,q5,266.0,1,
296,114_hr2899,q5,281.0,1,
297,114_hr2839,q5,284.0,1,
298,114_hr2835,q5,285.0,1,
299,114_hr2827,q5,287.0,1,
300,114_hr2694,q5,298.0,1,
301,114_hr2621,q5,303.0,1,
302,114_hr2242,q5,320.0,1,
303,114_hr2201,q5,322.0,1,
304,114_hr1929,q5,341.0,1,
305,114_hr1715,q5,353.0,1,
306,114_hr1657,q5,357.0,1,
307,114_hr1622,q5,359.0,1,
308,114_hr1568,q5,362.0,1,
309,114_hr1493,q5,365.0,1,
310,114_hr825,q5,407.0,1,
311,114_hr624,q5,419.0,1,
312,114_hr604,q5,421.0,1,
313,114_hr583,q5,422.0,1,
314,114_hr229,q5,445.0,1,
315,114_s3538,q5,521.0,1,
316,114_s3390,q5,532.0,1,
317,114_s3072,q5,550.0,1,
318,114_s2986,q5,555.0,1,
319,114_s2984,q5,556.0,1,
320,114_s2773,q5,568.0,1,
321,114_s2645,q5,573.0,1,
322,114_s2610,q5,575.0,1,
323,114_s2544,q5,577.0,1,
324,114_s2447,q5,585.0,1,
325,114_s2430,q5,588.0,1,
326,114_s2337,q5,602.0,1,
327,114_s2284,q5,608.0,1,
328,114_s2193,q5,613.0,1,
329,114_s2161,q5,614.0,1,
330,114_s2160,q5,615.0,1,
331,114_s2131,q5,618.0,1,
332,114_s2119,q5,622.0,1,
333,114_s2115,q5,623.0,1,
334,114_s2040,q5,630.0,1,
335,114_s1843,q5,639.0,1,
336,114_s1842,q5,640.0,1,
337,114_s1812,q5,642.0,1,
338,114_s1752,q5,647.0,1,
339,114_s1603,q5,659.0,1,
340,114_s1120,q5,674.0,1,
341,114_s686,q5,697.0,1,
342,114_s575,q5,701.0,1,
343,114_s534,q5,705.0,1,
344,114_s284,q5,712.0,1,
345,114_s247,q5,714.0,1,
346,113_hr5879,q5,751.0,1,
347,113_hr5825,q5,752.0,1,
348,113_hr5774,q5,756.0,1,
349,113_hr5710,q5,766.0,1,
350,113_hr5673,q5,774.0,1,
